A1,A2,A3,A4,A5,A6,A7,A8,A9
7960,6815,5444,4349,14775,9793,13404,11164,24568
7892,6751,5455,4407,14643,9862,13347,11158,24505
7774,6725,5445,4452,14499,9897,13219,11177,24396
7982,6645,5359,4362,14627,9721,13341,11007,24348
7716,6844,5262,4521,14560,9783,12978,11365,24343
7551,7053,5228,4526,14604,9754,12779,11579,24358
7696,6896,5243,4536,14592,9779,12939,11432,24371
7603,7029,5299,4491,14632,9790,12902,11520,24422
7827,6792,5362,4481,14619,9843,13189,11273,24462
7631,7161,5335,4367,14792,9702,12966,11528,24494
7609,7078,5362,4452,14687,9814,12971,11530,24501
7794,6841,5382,4471,14635,9853,13176,11312,24488
7759,6806,5443,4472,14565,9915,13202,11278,24480
7872,6778,5379,4460,14650,9839,13251,11238,24489
7927,6842,5369,4346,14769,9715,13296,11188,24484
7821,6856,5404,4486,14677,9890,13225,11342,24567
7762,7006,5368,4440,14768,9808,13130,11446,24576
7821,6833,5469,4543,14654,10012,13290,11376,24666
7761,6850,5481,4624,14611,10105,13242,11474,24716
7700,6843,5638,4582,14543,10220,13338,11425,24763
7957,6659,5644,4557,14616,10201,13601,11216,24817
8033,6692,5564,4537,14725,10101,13597,11229,24826
7982,6754,5560,4526,14736,10086,13542,11280,24822
7895,6548,5682,4701,14443,10383,13577,11249,24826
7769,6872,5587,4618,14641,10205,13356,11490,24846
8053,6636,5654,4552,14689,10206,13707,11188,24895
7871,6658,5696,4707,14529,10403,13567,11365,24932
7847,6802,5664,4724,14649,10388,13511,11526,25037
7920,6744,5585,4885,14664,10470,13505,11629,25134
7803,6964,5678,4789,14767,10467,13481,11753,25234
7846,6864,5720,4896,14710,10616,13566,11760,25326
7727,6855,5809,5009,14582,10818,13536,11864,25400
7614,7010,5810,4982,14624,10792,13424,11992,25416
7660,6859,5820,5178,14519,10998,13480,12037,25517
7812,7056,5652,5023,14868,10675,13464,12079,25543
7496,7330,5669,5084,14826,10753,13165,12414,25579
7646,7187,5747,5067,14833,10814,13393,12254,25647
7832,6951,5738,5162,14783,10900,13570,12113,25683
7757,7229,5649,5117,14986,10766,13406,12346,25752
7712,7424,5623,5067,15136,10690,13335,12491,25826
7592,7472,5687,5171,15064,10858,13279,12643,25922
7851,7413,5560,5229,15264,10789,13411,12642,26053
7710,7387,5720,5382,15097,11102,13430,12769,26199
7865,7507,5547,5389,15372,10936,13412,12896,26308
7831,7533,5565,5443,15364,11008,13396,12976,26372
7660,7481,5556,5680,15141,11236,13216,13161,26377
7740,7390,5625,5663,15130,11288,13365,13053,26418
7851,7204,5629,5743,15055,11372,13480,12947,26427
7501,7527,5666,5792,15028,11458,13167,13319,26486
7812,7309,5697,5746,15121,11443,13509,13055,26564
7659,7440,5759,5780,15099,11539,13418,13220,26638
